(-1.25339,-0.0702045)
(-0.996812,0.0617992)
(-0.85352,-0.0519983)
(-0.42603,-0.707699)
(-0.0836409,-1.21826)
(0.0416258,-1.02096)
(0.165583,-0.903788)
(0.0139189,-0.96556)
(0.103978,-0.920522)
(0.115474,-0.854411)
(-0.18844,-0.830662)
(-0.816658,-0.317635)
(-1.20206,-0.0575279)
(-1.15072,0.000395211)
(-1.05608,0.0284646)
(-0.887982,0.0285858)
(-0.974955,0.135569)
(-1.20265,0.0331104)
(-0.971828,-0.306452)
(-0.406144,-0.77632)
(-0.125496,-0.908084)
(0.0643665,-0.904903)
(0.100309,-0.949937)
(0.0444574,-1.07388)
(0.0155747,-0.962939)
(-0.0620642,-0.951515)
(-0.16458,-0.764223)
(-0.833612,-0.344365)
(-1.2639,0.0284331)
(-1.0101,0.0296067)
(-1.03692,0.115264)
(-1.00254,0.283384)
(-0.896455,0.132567)
(-1.02317,-0.144961)
(-0.938362,-0.122926)
(-0.974256,0.05502)
(-1.07576,0.132554)
(-1.07708,-0.0435723)
(-1.07241,-0.0237731)
(-1.19982,-0.183007)
(-1.04954,-0.110861)
(-0.988174,0.188022)
(-0.904464,0.361077)
(-0.268044,0.754625)
(0.0399072,1.05067)
(-0.0230786,0.992447)
(0.0587195,0.920156)
(0.00148064,0.957321)
(0.0891535,0.830904)
(0.107834,0.915464)
(-0.132658,0.643197)
(-0.173486,-0.325691)
(-0.129818,-1.03609)
(-0.0458711,-0.976804)
(0.025531,-0.828636)
(0.0219469,-0.938484)
(-0.024664,-1.0415)
(0.0264826,-1.1479)
(0.16045,-0.947866)
(0.18898,0.39848)
(-0.0242363,1.15)
(-0.0864553,1.18515)
(0.0155465,1.2387)
(0.0326012,1.07007)
(0.0419155,1.01202)
(0.160411,1.03271)
(-0.0198571,0.81119)
(-0.575721,0.273825)
(-0.877198,-0.286385)
(-0.767777,-0.225982)
(-0.77294,-0.0419102)
(-0.986702,-0.0762795)
(-1.13653,0.0034083)
(-1.16208,0.0285078)
(-0.942042,0.00173884)
(-0.898898,0.184166)
(-1.19006,0.229535)
(-1.20631,-0.0101358)
(-1.0102,-0.0820534)
(-1.00636,0.0130919)
(-1.08306,0.122568)
(-1.16745,-0.0174799)
(-0.692855,-0.0204086)
(0.518538,0.0526459)
(1.15192,-0.0916931)
(0.863818,-0.0499072)
(0.918477,-0.0718228)
(1.09104,-0.0871874)
(0.980206,-0.0332462)
(0.851461,0.025409)
(0.672049,0.167656)
(0.0460768,0.637562)
(-0.103642,1.06912)
(0.0069377,1.01836)
(-0.0842316,0.961964)
(-0.0231205,1.03266)
(0.0585995,1.01034)
(-0.13132,1.19315)
(-0.254465,0.786513)
(-0.188599,-0.406463)
(-0.185975,-1.13228)
(-0.106276,-1.04152)
(0.00504438,-0.901941)
(-0.0277186,-0.835085)
(-0.102239,-0.969236)
(-0.130717,-1.12174)
(-0.00920929,-0.618579)
(0.0440235,0.406837)
(-0.0773857,1.04668)
(-0.063218,0.919705)
(0.0885837,0.986119)
(0.213672,0.997147)
(0.0322313,1.08616)
(0.0913432,1.13108)
(0.0272865,0.72787)
(-0.11366,-0.605852)
(-0.214032,-1.35907)
(-0.00166497,-1.0865)
(0.194332,-1.08213)
(0.0727116,-0.97392)
(-0.109994,-0.983639)
(-0.0454971,-0.923852)
(-0.0752519,-0.847911)
(0.059071,-0.881279)
(0.175475,-1.01326)
(-0.182094,-1.24165)
(-0.25747,-1.15988)
(-0.0136087,-0.931692)
(0.124167,-1.07636)
(0.0356659,-1.27993)
(0.126866,-0.855722)
(0.00708716,0.484688)
(-0.155991,1.13947)
(-0.024957,1.02251)
(-0.054944,0.935603)
(-0.0279797,0.945326)
(-0.00980256,1.09129)
(-0.0605126,1.0235)
(0.0263753,0.951576)
(0.099933,1.02401)
(0.1257,0.88871)
(-0.0191351,0.708796)
(-0.0881124,0.923164)
(0.0168262,0.97436)
